gid,objectid,loc_name,status,score,match_type,match_addr,longlabel,shortlabel,addr_type,type,placename,place_addr,phone,url,rank,addbldg,addnum,addnumfrom,addnumto,addrange,side,stpredir,stpretype,stname,sttype,stdir,bldgtype,bldgname,leveltype,levelname,unittype,unitname,subaddr,staddr,block,sector,nbrhd,district,city,metroarea,subregion,region,regionabbr,territory,zone,postal,postalext,country,cntryname,langcode,distance,x,y,displayx,displayy,__xmin,__xmax,ymin,ymax,exinfo,arc_single,id,loannumber,borrowerna,borrowerad,borrowerci,borrowerst,borrowerzi,loanstatus,loanstat_1,initialapp,currentapp,currenta_1,servicingl,hubzoneind,businessag,jobsreport,naicscode,lmiindicat,businessty,forgivenes,forgiven_1,full_addre,geom
58,58,World,M,100,A,"1185 Randall Ave, Bronx, New York, 10474","1185 Randall Ave, Bronx, NY, 10474, USA",1185 Randall Ave,PointAddress,NULL,NULL,"1185 Randall Ave, Bronx, New York, 10474",NULL,NULL,20,NULL,1185,NULL,NULL,NULL,NULL,NULL,NULL,Randall,Ave,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1185 Randall Ave,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10474,6215,USA,United States,ENG,0,-73.89115443,40.81158492,-73.89115443,40.81158492,-73.89215443,-73.89015443,40.81058492,40.81258492,NULL,"1185 Randall Ave. Bronx, NY",416420,7984557304,IMPERIEX CONSTRUCTION INC.,1185 Randall Ave.,Bronx,NY,10474,4/17/21,Paid in Full,83183,83183,83183,"Santander Bank, National Association",Y,Existing or more than 2 years old,8,238910,Y,Corporation,83921.39,3/25/21,"1185 Randall Ave. Bronx, NY",0101000020E610000010F298AC087952C0C8CFC603E2674440
59,59,World,M,97.59,A,"790 Concourse Vlg W, Bronx, New York, 10451","790 Concourse Vlg W, Bronx, NY, 10451, USA",790 Concourse Vlg W,PointAddress,NULL,NULL,"790 Concourse Vlg W, Bronx, New York, 10451",NULL,NULL,20,NULL,790,NULL,NULL,NULL,NULL,NULL,NULL,Concourse,Vlg,W,NULL,NULL,NULL,NULL,NULL,NULL,NULL,790 Concourse Vlg W,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10451,3804,USA,United States,ENG,0,-73.92237157,40.82428372,-73.92237157,40.82428372,-73.92337157,-73.92137157,40.82328372,40.82528372,NULL,"790 Concoure Village west Bronx, NY",416784,2615467303,DARRYL LIEBERMAN DDS AND ASSOCIATES PC,790 Concoure Village west,Bronx,NY,10451,3/18/22,Paid in Full,82852,82852,82852,Customers Bank,N,Existing or more than 2 years old,9,621210,N,Corporation,84136.77,11/17/21,"790 Concoure Village west Bronx, NY",0101000020E61000000CF6C622087B52C000D3F82082694440
60,60,World,M,100,A,"148 E 170th St, Bronx, New York, 10452","148 E 170th St, Bronx, NY, 10452, USA",148 E 170th St,PointAddress,NULL,NULL,"148 E 170th St, Bronx, New York, 10452",NULL,NULL,20,NULL,148,NULL,NULL,NULL,NULL,E,NULL,170th,St,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,148 E 170th St,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10452,7021,USA,United States,ENG,0,-73.91469341,40.83889455,-73.91469341,40.83889455,-73.91569341,-73.91369341,40.83789455,40.83989455,NULL,"148 E 170th Street Bronx, NY",417697,4683827207,EMPORIUM SUPERMARKET CORP.,148 E 170th Street,Bronx,NY,10452,5/13/21,Paid in Full,82112,82112,82112,Mid Penn Bank,Y,Existing or more than 2 years old,27,445110,Y,Corporation,82894.88,4/15/21,"148 E 170th Street Bronx, NY",0101000020E610000010F53E568A7A52C0D0D680E5606B4440
61,61,World,M,100,A,"1133 Ogden Ave, Bronx, New York, 10452","1133 Ogden Ave, Bronx, NY, 10452, USA",1133 Ogden Ave,PointAddress,NULL,NULL,"1133 Ogden Ave, Bronx, New York, 10452",NULL,NULL,20,NULL,1133,NULL,NULL,NULL,NULL,NULL,NULL,Ogden,Ave,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1133 Ogden Ave,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10452,4348,USA,United States,ENG,0,-73.92778318,40.83637511,-73.92778318,40.83637511,-73.92878318,-73.92678318,40.83537511,40.83737511,NULL,"1133 Ogden Ave Apt 1L Bronx, NY",418399,1317498610,KEILA RAPHAEL,1133 Ogden Ave Apt 1L,Bronx,NY,10452-4306,11/19/21,Paid in Full,81500,81500,81500,"Citibank, N.A.",Y,Existing or more than 2 years old,11,541618,Y,Sole Proprietorship,81998.06,10/27/21,"1133 Ogden Ave Apt 1L Bronx, NY",0101000020E6100000C0F6B4CC607B52C030D6F8560E6B4440
62,62,World,M,100,A,"242 E 137th St, Bronx, New York, 10451","242 E 137th St, Bronx, NY, 10451, USA",242 E 137th St,PointAddress,NULL,NULL,"242 E 137th St, Bronx, New York, 10451",NULL,NULL,20,NULL,242,NULL,NULL,NULL,NULL,E,NULL,137th,St,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,242 E 137th St,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10451,6437,USA,United States,ENG,0,-73.92885011,40.8110064,-73.92885011,40.8110064,-73.92985011,-73.92785011,40.8100064,40.8120064,NULL,"242 east 137th street 3rd floor Bronx, NY",418854,1943527302,FLYOUNGLLC,242 east 137th street 3rd floor,Bronx,NY,10451,3/18/22,Paid in Full,81182,81182,81182,Customers Bank,Y,Existing or more than 2 years old,10,999990,Y,Limited  Liability Company(LLC),82425.31,11/16/21,"242 east 137th street 3rd floor Bronx, NY",0101000020E6100000DCF6BE47727B52C0A0CFCE0ECF674440
63,63,World,M,100,A,"761 Bruckner Blvd, Bronx, New York, 10455","761 Bruckner Blvd, Bronx, NY, 10455, USA",761 Bruckner Blvd,PointAddress,NULL,NULL,"761 Bruckner Blvd, Bronx, New York, 10455",NULL,NULL,20,NULL,761,NULL,NULL,NULL,NULL,NULL,NULL,Bruckner,Blvd,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,761 Bruckner Blvd,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10455,2103,USA,United States,ENG,0,-73.89667542,40.81479335,-73.89667542,40.81479335,-73.89767542,-73.89567542,40.81379335,40.81579335,NULL,"761 Bruckner Blvd. Bronx, NY",419729,9868697204,KATSURA CONSTRUCTION INC,761 Bruckner Blvd.,Bronx,NY,10455,4/22/21,Paid in Full,80500,80500,80500,"TD Bank, National Association",Y,Existing or more than 2 years old,7,236220,Y,Corporation,81217.79,3/17/21,"761 Bruckner Blvd. Bronx, NY",0101000020E6100000C4F25021637952C098D0FE254B684440
64,64,World,M,100,A,"1360 Garrison Ave, Bronx, New York, 10474","1360 Garrison Ave, Bronx, NY, 10474, USA",1360 Garrison Ave,PointAddress,NULL,NULL,"1360 Garrison Ave, Bronx, New York, 10474",NULL,NULL,20,NULL,1360,NULL,NULL,NULL,NULL,NULL,NULL,Garrison,Ave,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1360 Garrison Ave,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10474,4994,USA,United States,ENG,0,-73.88508677,40.82121674,-73.88508677,40.82121674,-73.88608677,-73.88408677,40.82021674,40.82221674,NULL,"1360 Garrison Avenue Bronx, NY",421080,8359677206,"SMART ROOFS, LLC",1360 Garrison Avenue,Bronx,NY,10474,10/8/21,Paid in Full,79559,79559,79559,"Modern Bank, National Association",Y,Existing or more than 2 years old,34,238160,Y,Limited  Liability Company(LLC),80621.64,9/2/21,"1360 Garrison Avenue Bronx, NY",0101000020E610000048F1FC42A57852C048D246A11D694440
65,65,World,M,100,A,"1253 Shakespeare Ave, Bronx, New York, 10452","1253 Shakespeare Ave, Bronx, NY, 10452, USA",1253 Shakespeare Ave,PointAddress,NULL,NULL,"1253 Shakespeare Ave, Bronx, New York, 10452",NULL,NULL,20,NULL,1253,NULL,NULL,NULL,NULL,NULL,NULL,Shakespeare,Ave,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1253 Shakespeare Ave,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10452,3098,USA,United States,ENG,0,-73.92343725,40.83855231,-73.92343725,40.83855231,-73.92443725,-73.92243725,40.83755231,40.83955231,NULL,"1253 Shakespeare Avenue Bronx, NY",421897,5713287305,SACRED HEART CHURCH,1253 Shakespeare Avenue,Bronx,NY,10452,2/18/22,Paid in Full,78900,78900,78900,Loan Source Incorporated,Y,Existing or more than 2 years old,7,813110,Y,Corporation,79686.84,5/10/21,"1253 Shakespeare Avenue Bronx, NY",0101000020E610000034F68A98197B52C0B0D6A4AE556B4440
67,67,World,T,75,A,"Bronx, New York","Bronx, NY, USA",Bronx,Locality,City,Bronx,"Bronx, New York",NULL,NULL,2.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Bronx,New York City Metro,Bronx County,New York,NY,NULL,NULL,NULL,NULL,USA,United States,ENG,0,-73.92309,40.826,-73.92309,40.826,-73.93309,-73.91309,40.816,40.836,UNIT 31B NYC HUNTS POINT TERMINAL MARKET,"Unit 31B NYC Hunts Point Terminal Market Bronx, NY",427898,3547217202,"FITZ & PAL FOOD CENTER, LLC",Unit 31B NYC Hunts Point Terminal Market,Bronx,NY,10474,2/25/21,Paid in Full,74639,74639,74639,Signature Bank,N,Existing or more than 2 years old,5,424480,Y,Partnership,75156.36,1/19/21,"Unit 31B NYC Hunts Point Terminal Market Bronx, NY",0101000020E6100000EC5014E8137B52C0883F355EBA694440
68,68,World,M,100,A,"340 Jackson Ave, Bronx, New York, 10454","340 Jackson Ave, Bronx, NY, 10454, USA",340 Jackson Ave,PointAddress,NULL,NULL,"340 Jackson Ave, Bronx, New York, 10454",NULL,NULL,20,NULL,340,NULL,NULL,NULL,NULL,NULL,NULL,Jackson,Ave,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,340 Jackson Ave,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10454,1619,USA,United States,ENG,0,-73.91111929,40.80774253,-73.91111929,40.80774253,-73.91211929,-73.91011929,40.80674253,40.80874253,NULL,"340 Jackson Avenue Bronx, NY",430092,7719047205,"EAST COAST ENVIRONMENTAL SERVICES OF NY, INC.",340 Jackson Avenue,Bronx,NY,10454,9/25/21,Paid in Full,73000,73000,73000,Signature Bank,Y,Existing or more than 2 years old,7,213112,Y,Corporation,73938,8/19/21,"340 Jackson Avenue Bronx, NY",0101000020E6100000A0F444C74F7A52C0C8CE781B64674440
69,69,World,M,100,A,"493 E 138th St, Bronx, New York, 10454","493 E 138th St, Bronx, NY, 10454, USA",493 E 138th St,PointAddress,NULL,NULL,"493 E 138th St, Bronx, New York, 10454",NULL,NULL,20,NULL,493,NULL,NULL,NULL,NULL,E,NULL,138th,St,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,493 E 138th St,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10454,4046,USA,United States,ENG,0,-73.91975407,40.80796071,-73.91975407,40.80796071,-73.92075407,-73.91875407,40.80696071,40.80896071,NULL,"493 East 138th Street Bronx, NY",434210,9476557209,"SAFEWAY PHARMACY, INC",493 East 138th Street,Bronx,NY,10454,1/19/22,Paid in Full,70060,70060,70060,"Spencer Savings Bank, SLA",Y,Existing or more than 2 years old,8,446110,Y,Corporation,70632.16,2/24/21,"493 East 138th Street Bronx, NY",0101000020E6100000BCF52E40DD7A52C0E8CEB4416B674440
70,70,World,M,99.05,A,"2856 3rd Ave, Bronx, New York, 10455","2856 3rd Ave, Bronx, NY, 10455, USA",2856 3rd Ave,PointAddress,NULL,NULL,"2856 3rd Ave, Bronx, New York, 10455",NULL,NULL,20,NULL,2856,NULL,NULL,NULL,NULL,NULL,NULL,3rd,Ave,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2856 3rd Ave,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10455,2726,USA,United States,ENG,0,-73.91720178,40.81616802,-73.91720178,40.81616802,-73.91820178,-73.91620178,40.81516802,40.81716802,70,"2856-70 Third Ave. Bronx, NY",435529,8127857202,JNJ NEW YORK INC,2856-70 Third Ave.,Bronx,NY,10455,7/10/21,Paid in Full,69308,69308,69308,"KEB Hana Bank USA, National Association",Y,Existing or more than 2 years old,15,446120,Y,Corporation,70103.44,6/22/21,"2856-70 Third Ave. Bronx, NY",0101000020E610000064F51A6FB37A52C0F0D0983178684440
71,71,World,M,100,A,"65 Bruckner Blvd, Bronx, New York, 10454","65 Bruckner Blvd, Bronx, NY, 10454, USA",65 Bruckner Blvd,PointAddress,NULL,NULL,"65 Bruckner Blvd, Bronx, New York, 10454",NULL,NULL,20,NULL,65,NULL,NULL,NULL,NULL,NULL,NULL,Bruckner,Blvd,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,65 Bruckner Blvd,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10454,4436,USA,United States,ENG,0,-73.92634837,40.80653495,-73.92634837,40.80653495,-73.92734837,-73.92534837,40.80553495,40.80753495,NULL,"65 Bruckner Blvd Bronx, NY",435879,9679657705,SATELLITE PLUMBING CORPORATION,65 Bruckner Blvd,Bronx,NY,10454-4436,3/23/21,Paid in Full,75000,69100,69100,"Newtek Small Business Finance, Inc.",Y,Existing or more than 2 years old,5,238220,Y,Subchapter S Corporation,69591.38,2/22/21,"65 Bruckner Blvd Bronx, NY",0101000020E610000094F6A84A497B52C088CE8C893C674440
72,72,World,M,100,A,"369 E 148th St, Bronx, New York, 10455","369 E 148th St, Bronx, NY, 10455, USA",369 E 148th St,PointAddress,NULL,NULL,"369 E 148th St, Bronx, New York, 10455",NULL,NULL,20,NULL,369,NULL,NULL,NULL,NULL,E,NULL,148th,St,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,369 E 148th St,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10455,4041,USA,United States,ENG,0,-73.91916801,40.81577847,-73.91916801,40.81577847,-73.92016801,-73.91816801,40.81477847,40.81677847,NULL,"369 E. 148th Street, Lower Level Bronx, NY",435928,5714038102,"THE INSTITUTE FOR MEDIATION AND CONFLICT RESOLUTION, INC.","369 E. 148th Street, Lower Level",Bronx,NY,10455,11/6/21,Paid in Full,50000,69050,69050,Fountainhead SBF LLC,Y,Existing or more than 2 years old,7,624190,Y,Non-Profit Organization,69899.7,10/28/21,"369 E. 148th Street, Lower Level Bronx, NY",0101000020E6100000A8F50EA6D37A52C0D0D0D26D6B684440
73,73,World,M,100,A,"385 Rider Ave, Bronx, New York, 10451","385 Rider Ave, Bronx, NY, 10451, USA",385 Rider Ave,PointAddress,NULL,NULL,"385 Rider Ave, Bronx, New York, 10451",NULL,NULL,20,NULL,385,NULL,NULL,NULL,NULL,NULL,NULL,Rider,Ave,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,385 Rider Ave,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10451,5905,USA,United States,ENG,0,-73.92565619,40.81505176,-73.92565619,40.81505176,-73.92665619,-73.92465619,40.81405176,40.81605176,NULL,"385 Rider Avenue Bronx, NY",437339,2969647404,POWER MASTERS ELECTRICAL CONTRACTING INC.,385 Rider Avenue,Bronx,NY,10451,8/12/21,Paid in Full,68088,68088,68088,Orange Bank & Trust Company,Y,Existing or more than 2 years old,6,238210,Y,Corporation,68908.33,7/22/21,"385 Rider Avenue Bronx, NY",0101000020E610000078F674F33D7B52C0B8D0BA9D53684440
75,75,World,M,100,A,"408 E 154th St, Bronx, New York, 10455","408 E 154th St, Bronx, NY, 10455, USA",408 E 154th St,PointAddress,NULL,NULL,"408 E 154th St, Bronx, New York, 10455",NULL,NULL,20,NULL,408,NULL,NULL,NULL,NULL,E,NULL,154th,St,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,408 E 154th St,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10455,1222,USA,United States,ENG,0,-73.91583302,40.81934711,-73.91583302,40.81934711,-73.91683302,-73.91483302,40.81834711,40.82034711,NULL,"408 E 154th St Bronx, NY",438149,4498257309,BEST PRICE RENOVATIONS LLC,408 E 154th St,Bronx,NY,10455,6/17/21,Paid in Full,67532,67532,67532,"Square Capital, LLC",Y,Existing or more than 2 years old,5,238350,Y,Limited  Liability Company(LLC),68244.83,5/21/21,"408 E 154th St Bronx, NY",0101000020E610000038F516029D7A52C0C0D1B85DE0684440
76,76,World,M,100,A,"1145 Longwood Ave, Bronx, New York, 10474","1145 Longwood Ave, Bronx, NY, 10474, USA",1145 Longwood Ave,PointAddress,NULL,NULL,"1145 Longwood Ave, Bronx, New York, 10474",NULL,NULL,20,NULL,1145,NULL,NULL,NULL,NULL,NULL,NULL,Longwood,Ave,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1145 Longwood Ave,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10474,5712,USA,United States,ENG,0,-73.89238422,40.81423298,-73.89238422,40.81423298,-73.89338422,-73.89138422,40.81323298,40.81523298,NULL,"1145 Longwood Ave Bronx, NY",438362,2196908610,BLICKMEYER & SIEBELITZ INC,1145 Longwood Ave,Bronx,NY,10474-5712,12/21/21,Paid in Full,67472,67472,67472,"JPMorgan Chase Bank, National Association",Y,Existing or more than 2 years old,8,811118,Y,Corporation,67914.65,11/15/21,"1145 Longwood Ave Bronx, NY",0101000020E610000038F2B8D21C7952C078D040C938684440
77,77,World,M,100,A,"2702 3rd Ave, Bronx, New York, 10454","2702 3rd Ave, Bronx, NY, 10454, USA",2702 3rd Ave,PointAddress,NULL,NULL,"2702 3rd Ave, Bronx, New York, 10454",NULL,NULL,20,NULL,2702,NULL,NULL,NULL,NULL,NULL,NULL,3rd,Ave,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2702 3rd Ave,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10454,1210,USA,United States,ENG,0,-73.9221513,40.81354474,-73.9221513,40.81354474,-73.9231513,-73.9211513,40.81254474,40.81454474,NULL,"2702 3rd Ave Bronx, NY",441070,4424007301,PSK RX INC,2702 3rd Ave,Bronx,NY,10454-1210,5/25/21,Paid in Full,66450,65707,65707,"Lendistry SBLC, LLC",Y,Existing or more than 2 years old,7,446110,Y,Corporation,66313.66,4/21/21,"2702 3rd Ave Bronx, NY",0101000020E610000008F6DE86047B52C048D0E43B22684440
78,78,World,T,76.3,A,Bronx Terminal Market,"Bronx Terminal Market, 610 Exterior St, Bronx, NY, 10451, USA",Bronx Terminal Market,POI,Shopping Center,Bronx Terminal Market,"610 Exterior St, Bronx, New York, 10451",NULL,NULL,19,NULL,610,NULL,NULL,NULL,NULL,NULL,NULL,Exterior,St,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,610 Exterior St,NULL,NULL,NULL,NULL,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10451,NULL,USA,United States,ENG,0,-73.929486,40.822608,-73.929486,40.822608,-73.931486,-73.927486,40.820608,40.824608,263A ROW B | NY,"#263A Row B NYC Terminal MKT Bronx, NY",442049,4616407406,JETS PRODUCE,#263A Row B NYC Terminal MKT,Bronx,NY,10474,11/18/21,Paid in Full,65100,65100,65100,"Citibank, N.A.",N,Existing or more than 2 years old,7,445230,Y,Subchapter S Corporation,52549.53,7/15/21,"#263A Row B NYC Terminal MKT Bronx, NY",0101000020E6100000B805D9B27C7B52C0D8B60C384B694440
79,79,World,M,100,A,"1550 University Ave, Bronx, New York, 10452","1550 University Ave, Bronx, NY, 10452, USA",1550 University Ave,PointAddress,NULL,NULL,"1550 University Ave, Bronx, New York, 10452",NULL,NULL,20,NULL,1550,NULL,NULL,NULL,NULL,NULL,NULL,University,Ave,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1550 University Ave,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10452,NULL,USA,United States,ENG,0,-73.92124764,40.84608697,-73.92124764,40.84608697,-73.92224764,-73.92024764,40.84508697,40.84708697,NULL,"1550 University Avenue Bronx, NY",442610,4423737306,CHOICE ONE PHARMA INC,1550 University Avenue,Bronx,NY,10452-1503,5/25/21,Paid in Full,64895,64895,64895,"Lendistry SBLC, LLC",Y,Existing or more than 2 years old,6,446110,Y,Corporation,65506.61,4/21/21,"1550 University Avenue Bronx, NY",0101000020E6100000ECF5ACB8F57A52C098D8F4934C6C4440
80,80,World,M,100,A,"140 E 170th St, Bronx, New York, 10452","140 E 170th St, Bronx, NY, 10452, USA",140 E 170th St,StreetAddress,NULL,NULL,"140 E 170th St, Bronx, New York, 10452",NULL,NULL,20,NULL,140,150,126,126-150,L,E,NULL,170th,St,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,140 E 170th St,NULL,NULL,Concourse,Bronx,Bronx,New York City Metro,Bronx County,New York,NY,NULL,NULL,10452,7021,USA,United States,ENG,0,-73.91490456,40.83898174,-73.91490456,40.83898174,-73.91590456,-73.91390456,40.83798174,40.83998174,NULL,"140 E 170th St Bronx, NY",443217,2206767309,BRONX 170 FOODS INC,140 E 170th St,Bronx,NY,10452,8/12/21,Paid in Full,64500,64500,64500,Live Oak Banking Company,Y,Existing or more than 2 years old,12,722513,Y,Subchapter S Corporation,65295.21,7/26/21,"140 E 170th St Bronx, NY",0101000020E6100000EC60DCCB8D7A52C0B086F8C0636B4440
81,81,World,M,98.75,A,"540 Faile St, Bronx, New York, 10474","540 Faile St, Bronx, NY, 10474, USA",540 Faile St,PointAddress,NULL,NULL,"540 Faile St, Bronx, New York, 10474",NULL,NULL,20,NULL,540,NULL,NULL,NULL,NULL,NULL,NULL,Faile,St,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,540 Faile St,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10474,6908,USA,United States,ENG,0,-73.88558348,40.811569,-73.88558348,40.811569,-73.88658348,-73.88458348,40.810569,40.812569,544,"540-544 Faile Street Bronx, NY",443548,2578087307,"REYES PRODUCE TRANSPORT, INC.",540-544 Faile Street,Bronx,NY,10474,8/18/21,Paid in Full,64305,64305,64305,Signature Bank,Y,Existing or more than 2 years old,10,484220,Y,Subchapter S Corporation,65094.28,7/28/21,"540-544 Faile Street Bronx, NY",0101000020E610000058F15866AD7852C0C8CF2E7EE1674440
82,82,World,M,100,A,"754 Melrose Ave, Bronx, New York, 10451","754 Melrose Ave, Bronx, NY, 10451, USA",754 Melrose Ave,PointAddress,NULL,NULL,"754 Melrose Ave, Bronx, New York, 10451",NULL,NULL,20,NULL,754,NULL,NULL,NULL,NULL,NULL,NULL,Melrose,Ave,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,754 Melrose Ave,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10451,4446,USA,United States,ENG,0,-73.91517261,40.82130483,-73.91517261,40.82130483,-73.91617261,-73.91417261,40.82030483,40.82230483,NULL,"754 Melrose Avenue Bronx, NY",448088,3647407306,"WE STAY-NOS QUEDAMOS, INC.",754 Melrose Avenue,Bronx,NY,10451,2/18/22,Paid in Full,62000,62000,62000,Loan Source Incorporated,Y,Existing or more than 2 years old,5,713990,Y,Corporation,62783.07,8/17/21,"754 Melrose Avenue Bronx, NY",0101000020E610000024F52030927A52C040D2428420694440
83,83,World,M,100,A,"513 E 138th St, Bronx, New York, 10454","513 E 138th St, Bronx, NY, 10454, USA",513 E 138th St,PointAddress,NULL,NULL,"513 E 138th St, Bronx, New York, 10454",NULL,NULL,20,NULL,513,NULL,NULL,NULL,NULL,E,NULL,138th,St,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,513 E 138th St,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10454,3149,USA,United States,ENG,0,-73.9188909,40.80759321,-73.9188909,40.80759321,-73.9198909,-73.9178909,40.80659321,40.80859321,NULL,"513 E 138th St Bronx, NY",448600,2322457307,BRONX BROOK FOODS INC,513 E 138th St,Bronx,NY,10454,9/15/21,Paid in Full,61700,61700,61700,Live Oak Banking Company,Y,Existing or more than 2 years old,9,722513,Y,Corporation,62479.28,8/4/21,"513 E 138th St Bronx, NY",0101000020E610000098F5CA1BCF7A52C0C0CEDA365F674440
84,84,World,M,100,A,"119 E Mount Eden Ave, Bronx, New York, 10452","119 E Mount Eden Ave, Bronx, NY, 10452, USA",119 E Mount Eden Ave,PointAddress,NULL,NULL,"119 E Mount Eden Ave, Bronx, New York, 10452",NULL,NULL,20,NULL,119,NULL,NULL,NULL,NULL,E,NULL,Mount Eden,Ave,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,119 E Mount Eden Ave,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10452,5804,USA,United States,ENG,0,-73.91240691,40.84358468,-73.91240691,40.84358468,-73.91340691,-73.91140691,40.84258468,40.84458468,NULL,"119 E Mount Eden Ave # STR2 Bronx, NY",449052,4102628510,119 LOLY RESTAURANT,119 E Mount Eden Ave # STR2,Bronx,NY,10452-5804,3/18/22,Paid in Full,61425,61425,61425,"JPMorgan Chase Bank, National Association",Y,Existing or more than 2 years old,5,722511,Y,Limited  Liability Company(LLC),62006.9,2/10/22,"119 E Mount Eden Ave # STR2 Bronx, NY",0101000020E6100000C8F4F8DF647A52C0F0D73695FA6B4440
85,85,World,M,100,A,"435 Austin Pl, Bronx, New York, 10455","435 Austin Pl, Bronx, NY, 10455, USA",435 Austin Pl,PointAddress,NULL,NULL,"435 Austin Pl, Bronx, New York, 10455",NULL,NULL,20,NULL,435,NULL,NULL,NULL,NULL,NULL,NULL,Austin,Pl,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,435 Austin Pl,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10455,5024,USA,United States,ENG,0,-73.90570014,40.80929298,-73.90570014,40.80929298,-73.90670014,-73.90470014,40.80829298,40.81029298,NULL,"435 Austin place Suite D Bronx, NY",449094,4208777206,NEW YORK  CITY ELECTRIC INC,435 Austin place Suite D,Bronx,NY,10455,5/18/21,Paid in Full,61400,61400,61400,"Citibank, N.A.",Y,Existing or more than 2 years old,5,238210,Y,Subchapter S Corporation,61995.24,4/26/21,"435 Austin place Suite D Bronx, NY",0101000020E6100000ECF3B2FDF67952C028CF86E996674440
